user,session,timepress,timerelease,keycode,keyname
5,9,563,641,97,numpad_1
5,9,875,969,100,numpad_4
5,9,1313,1391,97,numpad_1
5,9,1688,1781,105,numpad_9
5,9,2031,2109,99,numpad_3
5,9,2500,2594,103,numpad_7
5,9,2813,2891,103,numpad_7
5,9,3109,3203,102,numpad_6
5,9,3516,3625,97,numpad_1
5,9,3922,4047,13,enter
5,10,0,94,105,numpad_9
5,10,531,625,97,numpad_1
5,10,860,953,100,numpad_4
5,10,1156,1250,97,numpad_1
5,10,1531,1625,105,numpad_9
5,10,1860,1938,99,numpad_3
5,10,2344,2422,103,numpad_7
5,10,2641,2719,103,numpad_7
5,10,2938,3016,102,numpad_6
5,10,3344,3422,97,numpad_1
5,10,3735,3860,13,enter
5,11,0,93,105,numpad_9
5,11,500,578,97,numpad_1
5,11,797,890,100,numpad_4
5,11,1078,1156,97,numpad_1
5,11,1406,1500,105,numpad_9
5,11,1718,1812,99,numpad_3
5,11,2218,2297,103,numpad_7
5,11,2484,2562,103,numpad_7
5,11,2765,2859,102,numpad_6
5,11,3187,3265,97,numpad_1
5,11,3547,3672,13,enter
5,12,0,78,105,numpad_9
5,12,594,672,97,numpad_1
5,12,797,875,100,numpad_4
5,12,1140,1234,97,numpad_1
5,12,1484,1562,105,numpad_9
5,12,1859,1937,99,numpad_3
5,12,2406,2484,103,numpad_7
5,12,2562,2640,103,numpad_7
5,12,2875,2953,102,numpad_6
5,12,3281,3375,97,numpad_1
5,12,3703,3828,13,enter
5,13,0,78,105,numpad_9
5,13,469,547,97,numpad_1
5,13,703,797,100,numpad_4
5,13,984,1062,97,numpad_1
5,13,1297,1390,105,numpad_9
5,13,1562,1656,99,numpad_3
5,13,2047,2125,103,numpad_7
5,13,2328,2406,103,numpad_7
5,13,2594,2687,102,numpad_6
5,13,3015,3109,97,numpad_1
5,13,3375,3469,13,enter
5,14,0,78,105,numpad_9
5,14,406,500,97,numpad_1
5,14,656,734,100,numpad_4
5,14,906,1000,97,numpad_1
5,14,1218,1328,105,numpad_9
5,14,1593,1687,99,numpad_3
5,14,2078,2156,103,numpad_7
5,14,2234,2328,103,numpad_7
5,14,2625,2718,102,numpad_6
5,14,3156,3250,97,numpad_1
5,14,3828,3953,13,enter
5,15,0,78,105,numpad_9
5,15,391,469,97,numpad_1
5,15,672,750,100,numpad_4
5,15,891,984,97,numpad_1
5,15,1219,1312,105,numpad_9
5,15,1516,1609,99,numpad_3
5,15,1922,2000,103,numpad_7
5,15,2094,2172,103,numpad_7
5,15,2422,2516,102,numpad_6
5,15,2859,2953,97,numpad_1
5,15,3234,3328,13,enter
5,16,0,78,105,numpad_9
5,16,484,562,97,numpad_1
5,16,750,828,100,numpad_4
5,16,1047,1141,97,numpad_1
5,16,1406,1500,105,numpad_9
5,16,1734,1812,99,numpad_3
5,16,2297,2391,103,numpad_7
5,16,2500,2578,103,numpad_7
5,16,2797,2875,102,numpad_6
5,16,3484,3578,97,numpad_1
5,16,3875,4000,13,enter
5,17,0,94,105,numpad_9
5,17,469,563,97,numpad_1
